"order_id","lab_number","base_lab_id","fribble_set","complexity_polarity","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_shuffle_group","time_order_index","location_seed","file_name"
225,15,8,"set_2","normal","base_rev","rev",1,"fribble_first",0,1,1,802251,"order_225.csv"
226,15,8,"set_2","normal","base_rev","rev",1,"fractal_first",0,1,1,802261,"order_226.csv"
227,15,8,"set_2","normal","base_rev","rev",1,"fribble_first",1,1,1,802271,"order_227.csv"
228,15,8,"set_2","normal","base_rev","rev",1,"fractal_first",1,1,1,802281,"order_228.csv"
229,15,8,"set_2","normal","base_rev","rev",1,"fribble_first",0,2,1,802292,"order_229.csv"
230,15,8,"set_2","normal","base_rev","rev",1,"fractal_first",0,2,1,802302,"order_230.csv"
231,15,8,"set_2","normal","base_rev","rev",1,"fribble_first",1,2,1,802312,"order_231.csv"
232,15,8,"set_2","normal","base_rev","rev",1,"fractal_first",1,2,1,802322,"order_232.csv"
233,15,8,"set_2","normal","base_rev","rev",1,"fribble_first",0,1,2,802331,"order_233.csv"
234,15,8,"set_2","normal","base_rev","rev",1,"fractal_first",0,1,2,802341,"order_234.csv"
235,15,8,"set_2","normal","base_rev","rev",1,"fribble_first",1,1,2,802351,"order_235.csv"
236,15,8,"set_2","normal","base_rev","rev",1,"fractal_first",1,1,2,802361,"order_236.csv"
237,15,8,"set_2","normal","base_rev","rev",1,"fribble_first",0,2,2,802372,"order_237.csv"
238,15,8,"set_2","normal","base_rev","rev",1,"fractal_first",0,2,2,802382,"order_238.csv"
239,15,8,"set_2","normal","base_rev","rev",1,"fribble_first",1,2,2,802392,"order_239.csv"
240,15,8,"set_2","normal","base_rev","rev",1,"fractal_first",1,2,2,802402,"order_240.csv"
