trial_number,familiar_stimulus,novel_stimulus,familiar_stimulus_item,novel_stimulus_item,complexity_condition,familiarization_time,familiar_location_1,familiar_location_2,test_time_1,test_time_2,familiarization_time_timeout
1,fractal_simple_pair1_b_bright,fractal_simple_pair1_a_bright,pair1_b,pair1_a,simple,5,left,right,5,5,10
2,fractal_complex_pair2_b_bright,fractal_complex_pair2_a_bright,pair2_b,pair2_a,complex,15,right,left,5,5,30
3,fractal_complex_pair3_b_bright,fractal_complex_pair3_a_bright,pair3_b,pair3_a,complex,10,left,right,5,5,20
4,fractal_simple_pair4_b_bright,fractal_simple_pair4_a_bright,pair4_b,pair4_a,simple,15,left,right,5,5,30
5,fractal_simple_pair5_b_bright,fractal_simple_pair5_a_bright,pair5_b,pair5_a,simple,10,right,left,5,5,20
6,fractal_complex_pair6_b_bright,fractal_complex_pair6_a_bright,pair6_b,pair6_a,complex,5,right,left,5,5,10
7,Cylinder_Simple,Pacman_Simple,Cylinder,Pacman,simple,10,left,right,5,5,20
8,Arrow_Complex,Bowtie_Complex,Arrow,Bowtie,complex,15,right,left,5,5,30
9,Bowl_Complex,Tripod_Complex,Bowl,Tripod,complex,5,right,left,5,5,10
10,Diamond_Simple,Crinkle_Simple,Diamond,Crinkle,simple,5,left,right,5,5,10
11,Gumdrop_Complex,Pyramid_Complex,Gumdrop,Pyramid,complex,15,left,right,5,5,30
12,Pumpkin_Simple,SimsDiamond_Simple,Pumpkin,SimsDiamond,simple,10,right,left,5,5,20
