trial_number,familiar_stimulus,novel_stimulus,familiar_stimulus_item,novel_stimulus_item,complexity_condition,familiarization_time,familiar_location_1,familiar_location_2,test_time_1,test_time_2,familiarization_time_timeout
1,Tripod_Simple,Diamond_Simple,Tripod,Diamond,simple,5,right,left,5,5,10
2,SimsDiamond_Complex,Cylinder_Complex,SimsDiamond,Cylinder,complex,10,left,right,5,5,20
3,Pyramid_Complex,Bowtie_Complex,Pyramid,Bowtie,complex,15,left,right,5,5,30
4,Pacman_Simple,Arrow_Simple,Pacman,Arrow,simple,15,right,left,5,5,30
5,Crinkle_Complex,Pumpkin_Complex,Crinkle,Pumpkin,complex,10,right,left,5,5,20
6,Bowl_Simple,Gumdrop_Simple,Bowl,Gumdrop,simple,5,left,right,5,5,10
7,fractal_simple_pair1_a_bright,fractal_simple_pair1_b_bright,pair1_a,pair1_b,simple,15,right,left,5,5,30
8,fractal_complex_pair2_a_bright,fractal_complex_pair2_b_bright,pair2_a,pair2_b,complex,10,left,right,5,5,20
9,fractal_complex_pair3_a_bright,fractal_complex_pair3_b_bright,pair3_a,pair3_b,complex,5,right,left,5,5,10
10,fractal_simple_pair4_a_bright,fractal_simple_pair4_b_bright,pair4_a,pair4_b,simple,10,right,left,5,5,20
11,fractal_simple_pair5_a_bright,fractal_simple_pair5_b_bright,pair5_a,pair5_b,simple,5,left,right,5,5,10
12,fractal_complex_pair6_a_bright,fractal_complex_pair6_b_bright,pair6_a,pair6_b,complex,15,left,right,5,5,30
