trial_number,familiar_stimulus,novel_stimulus,familiar_stimulus_item,novel_stimulus_item,complexity_condition,familiarization_time,familiar_location_1,familiar_location_2,test_time_1,test_time_2,familiarization_time_timeout
1,fractal_simple_pair1_b_bright,fractal_simple_pair1_a_bright,pair1_b,pair1_a,simple,10,left,right,5,5,20
2,fractal_complex_pair2_b_bright,fractal_complex_pair2_a_bright,pair2_b,pair2_a,complex,5,right,left,5,5,10
3,fractal_complex_pair3_b_bright,fractal_complex_pair3_a_bright,pair3_b,pair3_a,complex,15,left,right,5,5,30
4,fractal_simple_pair4_b_bright,fractal_simple_pair4_a_bright,pair4_b,pair4_a,simple,5,left,right,5,5,10
5,fractal_simple_pair5_b_bright,fractal_simple_pair5_a_bright,pair5_b,pair5_a,simple,15,right,left,5,5,30
6,fractal_complex_pair6_b_bright,fractal_complex_pair6_a_bright,pair6_b,pair6_a,complex,10,right,left,5,5,20
7,Diamond_Simple,Tripod_Simple,Diamond,Tripod,simple,15,left,right,5,5,30
8,Cylinder_Complex,SimsDiamond_Complex,Cylinder,SimsDiamond,complex,5,right,left,5,5,10
9,Bowtie_Complex,Pyramid_Complex,Bowtie,Pyramid,complex,10,right,left,5,5,20
10,Arrow_Simple,Pacman_Simple,Arrow,Pacman,simple,10,left,right,5,5,20
11,Pumpkin_Complex,Crinkle_Complex,Pumpkin,Crinkle,complex,5,left,right,5,5,10
12,Gumdrop_Simple,Bowl_Simple,Gumdrop,Bowl,simple,15,right,left,5,5,30
