trial_number,familiar_stimulus,novel_stimulus,familiar_stimulus_item,novel_stimulus_item,complexity_condition,familiarization_time,familiar_stimulus_path,novel_stimulus_path,familiar_location_1,familiar_location_2,left_image_path_1,right_image_path_1,left_image_path_2,right_image_path_2,test_time_1,test_time_2,familiarization_time_timeout
1,fractal_complex_pair1_b_bright,fractal_complex_pair1_a_bright,pair1_b,pair1_a,complex,10,stimuli/images/fractal_complex_pair1_b_bright.png,stimuli/images/fractal_complex_pair1_a_bright.png,left,right,stimuli/images/fractal_complex_pair1_b_bright.png,stimuli/images/fractal_complex_pair1_a_bright.png,stimuli/images/fractal_complex_pair1_a_bright.png,stimuli/images/fractal_complex_pair1_b_bright.png,5,5,20
2,fractal_simple_pair2_b_bright,fractal_simple_pair2_a_bright,pair2_b,pair2_a,simple,5,stimuli/images/fractal_simple_pair2_b_bright.png,stimuli/images/fractal_simple_pair2_a_bright.png,right,left,stimuli/images/fractal_simple_pair2_a_bright.png,stimuli/images/fractal_simple_pair2_b_bright.png,stimuli/images/fractal_simple_pair2_b_bright.png,stimuli/images/fractal_simple_pair2_a_bright.png,5,5,10
3,fractal_simple_pair3_b_bright,fractal_simple_pair3_a_bright,pair3_b,pair3_a,simple,15,stimuli/images/fractal_simple_pair3_b_bright.png,stimuli/images/fractal_simple_pair3_a_bright.png,left,right,stimuli/images/fractal_simple_pair3_b_bright.png,stimuli/images/fractal_simple_pair3_a_bright.png,stimuli/images/fractal_simple_pair3_a_bright.png,stimuli/images/fractal_simple_pair3_b_bright.png,5,5,30
4,fractal_complex_pair4_b_bright,fractal_complex_pair4_a_bright,pair4_b,pair4_a,complex,5,stimuli/images/fractal_complex_pair4_b_bright.png,stimuli/images/fractal_complex_pair4_a_bright.png,left,right,stimuli/images/fractal_complex_pair4_b_bright.png,stimuli/images/fractal_complex_pair4_a_bright.png,stimuli/images/fractal_complex_pair4_a_bright.png,stimuli/images/fractal_complex_pair4_b_bright.png,5,5,10
5,fractal_complex_pair5_b_bright,fractal_complex_pair5_a_bright,pair5_b,pair5_a,complex,15,stimuli/images/fractal_complex_pair5_b_bright.png,stimuli/images/fractal_complex_pair5_a_bright.png,right,left,stimuli/images/fractal_complex_pair5_a_bright.png,stimuli/images/fractal_complex_pair5_b_bright.png,stimuli/images/fractal_complex_pair5_b_bright.png,stimuli/images/fractal_complex_pair5_a_bright.png,5,5,30
6,fractal_simple_pair6_b_bright,fractal_simple_pair6_a_bright,pair6_b,pair6_a,simple,10,stimuli/images/fractal_simple_pair6_b_bright.png,stimuli/images/fractal_simple_pair6_a_bright.png,right,left,stimuli/images/fractal_simple_pair6_a_bright.png,stimuli/images/fractal_simple_pair6_b_bright.png,stimuli/images/fractal_simple_pair6_b_bright.png,stimuli/images/fractal_simple_pair6_a_bright.png,5,5,20
7,Cylinder_Complex,Pacman_Complex,Cylinder,Pacman,complex,15,stimuli/images/Cylinder_Complex.png,stimuli/images/Pacman_Complex.png,left,right,stimuli/images/Cylinder_Complex.png,stimuli/images/Pacman_Complex.png,stimuli/images/Pacman_Complex.png,stimuli/images/Cylinder_Complex.png,5,5,30
8,Arrow_Simple,Bowtie_Simple,Arrow,Bowtie,simple,5,stimuli/images/Arrow_Simple.png,stimuli/images/Bowtie_Simple.png,right,left,stimuli/images/Bowtie_Simple.png,stimuli/images/Arrow_Simple.png,stimuli/images/Arrow_Simple.png,stimuli/images/Bowtie_Simple.png,5,5,10
9,Bowl_Simple,Tripod_Simple,Bowl,Tripod,simple,10,stimuli/images/Bowl_Simple.png,stimuli/images/Tripod_Simple.png,right,left,stimuli/images/Tripod_Simple.png,stimuli/images/Bowl_Simple.png,stimuli/images/Bowl_Simple.png,stimuli/images/Tripod_Simple.png,5,5,20
10,Diamond_Complex,Crinkle_Complex,Diamond,Crinkle,complex,10,stimuli/images/Diamond_Complex.png,stimuli/images/Crinkle_Complex.png,left,right,stimuli/images/Diamond_Complex.png,stimuli/images/Crinkle_Complex.png,stimuli/images/Crinkle_Complex.png,stimuli/images/Diamond_Complex.png,5,5,20
11,Gumdrop_Simple,Pyramid_Simple,Gumdrop,Pyramid,simple,5,stimuli/images/Gumdrop_Simple.png,stimuli/images/Pyramid_Simple.png,left,right,stimuli/images/Gumdrop_Simple.png,stimuli/images/Pyramid_Simple.png,stimuli/images/Pyramid_Simple.png,stimuli/images/Gumdrop_Simple.png,5,5,10
12,Pumpkin_Complex,SimsDiamond_Complex,Pumpkin,SimsDiamond,complex,15,stimuli/images/Pumpkin_Complex.png,stimuli/images/SimsDiamond_Complex.png,right,left,stimuli/images/SimsDiamond_Complex.png,stimuli/images/Pumpkin_Complex.png,stimuli/images/Pumpkin_Complex.png,stimuli/images/SimsDiamond_Complex.png,5,5,30
