"order_id","lab_number","base_lab_id","fribble_set","complexity_polarity","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_shuffle_group","time_order_index","location_seed","file_name"
1,1,1,"set_1","normal","base_block","base",1,"fribble_first",0,1,1,100011,"order_001.csv"
2,1,1,"set_1","normal","base_block","base",1,"fractal_first",0,1,1,100021,"order_002.csv"
3,1,1,"set_1","normal","base_block","base",1,"fribble_first",1,1,1,100031,"order_003.csv"
4,1,1,"set_1","normal","base_block","base",1,"fractal_first",1,1,1,100041,"order_004.csv"
5,1,1,"set_1","normal","base_block","base",1,"fribble_first",0,2,1,100052,"order_005.csv"
6,1,1,"set_1","normal","base_block","base",1,"fractal_first",0,2,1,100062,"order_006.csv"
7,1,1,"set_1","normal","base_block","base",1,"fribble_first",1,2,1,100072,"order_007.csv"
8,1,1,"set_1","normal","base_block","base",1,"fractal_first",1,2,1,100082,"order_008.csv"
9,1,1,"set_1","normal","base_block","base",1,"fribble_first",0,1,2,100091,"order_009.csv"
10,1,1,"set_1","normal","base_block","base",1,"fractal_first",0,1,2,100101,"order_010.csv"
11,1,1,"set_1","normal","base_block","base",1,"fribble_first",1,1,2,100111,"order_011.csv"
12,1,1,"set_1","normal","base_block","base",1,"fractal_first",1,1,2,100121,"order_012.csv"
13,1,1,"set_1","normal","base_block","base",1,"fribble_first",0,2,2,100132,"order_013.csv"
14,1,1,"set_1","normal","base_block","base",1,"fractal_first",0,2,2,100142,"order_014.csv"
15,1,1,"set_1","normal","base_block","base",1,"fribble_first",1,2,2,100152,"order_015.csv"
16,1,1,"set_1","normal","base_block","base",1,"fractal_first",1,2,2,100162,"order_016.csv"
17,2,1,"set_1","inverse","base_block","base",1,"fribble_first",0,1,1,100171,"order_017.csv"
18,2,1,"set_1","inverse","base_block","base",1,"fractal_first",0,1,1,100181,"order_018.csv"
19,2,1,"set_1","inverse","base_block","base",1,"fribble_first",1,1,1,100191,"order_019.csv"
20,2,1,"set_1","inverse","base_block","base",1,"fractal_first",1,1,1,100201,"order_020.csv"
21,2,1,"set_1","inverse","base_block","base",1,"fribble_first",0,2,1,100212,"order_021.csv"
22,2,1,"set_1","inverse","base_block","base",1,"fractal_first",0,2,1,100222,"order_022.csv"
23,2,1,"set_1","inverse","base_block","base",1,"fribble_first",1,2,1,100232,"order_023.csv"
24,2,1,"set_1","inverse","base_block","base",1,"fractal_first",1,2,1,100242,"order_024.csv"
25,2,1,"set_1","inverse","base_block","base",1,"fribble_first",0,1,2,100251,"order_025.csv"
26,2,1,"set_1","inverse","base_block","base",1,"fractal_first",0,1,2,100261,"order_026.csv"
27,2,1,"set_1","inverse","base_block","base",1,"fribble_first",1,1,2,100271,"order_027.csv"
28,2,1,"set_1","inverse","base_block","base",1,"fractal_first",1,1,2,100281,"order_028.csv"
29,2,1,"set_1","inverse","base_block","base",1,"fribble_first",0,2,2,100292,"order_029.csv"
30,2,1,"set_1","inverse","base_block","base",1,"fractal_first",0,2,2,100302,"order_030.csv"
31,2,1,"set_1","inverse","base_block","base",1,"fribble_first",1,2,2,100312,"order_031.csv"
32,2,1,"set_1","inverse","base_block","base",1,"fractal_first",1,2,2,100322,"order_032.csv"
33,3,2,"set_2","normal","base_block","base",1,"fribble_first",0,1,1,200331,"order_033.csv"
34,3,2,"set_2","normal","base_block","base",1,"fractal_first",0,1,1,200341,"order_034.csv"
35,3,2,"set_2","normal","base_block","base",1,"fribble_first",1,1,1,200351,"order_035.csv"
36,3,2,"set_2","normal","base_block","base",1,"fractal_first",1,1,1,200361,"order_036.csv"
37,3,2,"set_2","normal","base_block","base",1,"fribble_first",0,2,1,200372,"order_037.csv"
38,3,2,"set_2","normal","base_block","base",1,"fractal_first",0,2,1,200382,"order_038.csv"
39,3,2,"set_2","normal","base_block","base",1,"fribble_first",1,2,1,200392,"order_039.csv"
40,3,2,"set_2","normal","base_block","base",1,"fractal_first",1,2,1,200402,"order_040.csv"
41,3,2,"set_2","normal","base_block","base",1,"fribble_first",0,1,2,200411,"order_041.csv"
42,3,2,"set_2","normal","base_block","base",1,"fractal_first",0,1,2,200421,"order_042.csv"
43,3,2,"set_2","normal","base_block","base",1,"fribble_first",1,1,2,200431,"order_043.csv"
44,3,2,"set_2","normal","base_block","base",1,"fractal_first",1,1,2,200441,"order_044.csv"
45,3,2,"set_2","normal","base_block","base",1,"fribble_first",0,2,2,200452,"order_045.csv"
46,3,2,"set_2","normal","base_block","base",1,"fractal_first",0,2,2,200462,"order_046.csv"
47,3,2,"set_2","normal","base_block","base",1,"fribble_first",1,2,2,200472,"order_047.csv"
48,3,2,"set_2","normal","base_block","base",1,"fractal_first",1,2,2,200482,"order_048.csv"
49,4,2,"set_2","inverse","base_block","base",1,"fribble_first",0,1,1,200491,"order_049.csv"
50,4,2,"set_2","inverse","base_block","base",1,"fractal_first",0,1,1,200501,"order_050.csv"
51,4,2,"set_2","inverse","base_block","base",1,"fribble_first",1,1,1,200511,"order_051.csv"
52,4,2,"set_2","inverse","base_block","base",1,"fractal_first",1,1,1,200521,"order_052.csv"
53,4,2,"set_2","inverse","base_block","base",1,"fribble_first",0,2,1,200532,"order_053.csv"
54,4,2,"set_2","inverse","base_block","base",1,"fractal_first",0,2,1,200542,"order_054.csv"
55,4,2,"set_2","inverse","base_block","base",1,"fribble_first",1,2,1,200552,"order_055.csv"
56,4,2,"set_2","inverse","base_block","base",1,"fractal_first",1,2,1,200562,"order_056.csv"
57,4,2,"set_2","inverse","base_block","base",1,"fribble_first",0,1,2,200571,"order_057.csv"
58,4,2,"set_2","inverse","base_block","base",1,"fractal_first",0,1,2,200581,"order_058.csv"
59,4,2,"set_2","inverse","base_block","base",1,"fribble_first",1,1,2,200591,"order_059.csv"
60,4,2,"set_2","inverse","base_block","base",1,"fractal_first",1,1,2,200601,"order_060.csv"
61,4,2,"set_2","inverse","base_block","base",1,"fribble_first",0,2,2,200612,"order_061.csv"
62,4,2,"set_2","inverse","base_block","base",1,"fractal_first",0,2,2,200622,"order_062.csv"
63,4,2,"set_2","inverse","base_block","base",1,"fribble_first",1,2,2,200632,"order_063.csv"
64,4,2,"set_2","inverse","base_block","base",1,"fractal_first",1,2,2,200642,"order_064.csv"
65,5,3,"set_1","normal","base_rev","base",1,"fribble_first",0,1,1,300651,"order_065.csv"
