"order_id","lab_number","base_lab_id","fribble_set","complexity_polarity","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_shuffle_group","time_order_index","location_seed","file_name"
721,46,23,"set_1","inverse","base_rev","rev",3,"fribble_first",0,1,1,2307211,"order_721.csv"
722,46,23,"set_1","inverse","base_rev","rev",3,"fractal_first",0,1,1,2307221,"order_722.csv"
723,46,23,"set_1","inverse","base_rev","rev",3,"fribble_first",1,1,1,2307231,"order_723.csv"
724,46,23,"set_1","inverse","base_rev","rev",3,"fractal_first",1,1,1,2307241,"order_724.csv"
725,46,23,"set_1","inverse","base_rev","rev",3,"fribble_first",0,2,1,2307252,"order_725.csv"
726,46,23,"set_1","inverse","base_rev","rev",3,"fractal_first",0,2,1,2307262,"order_726.csv"
727,46,23,"set_1","inverse","base_rev","rev",3,"fribble_first",1,2,1,2307272,"order_727.csv"
728,46,23,"set_1","inverse","base_rev","rev",3,"fractal_first",1,2,1,2307282,"order_728.csv"
729,46,23,"set_1","inverse","base_rev","rev",3,"fribble_first",0,1,2,2307291,"order_729.csv"
730,46,23,"set_1","inverse","base_rev","rev",3,"fractal_first",0,1,2,2307301,"order_730.csv"
731,46,23,"set_1","inverse","base_rev","rev",3,"fribble_first",1,1,2,2307311,"order_731.csv"
732,46,23,"set_1","inverse","base_rev","rev",3,"fractal_first",1,1,2,2307321,"order_732.csv"
733,46,23,"set_1","inverse","base_rev","rev",3,"fribble_first",0,2,2,2307332,"order_733.csv"
734,46,23,"set_1","inverse","base_rev","rev",3,"fractal_first",0,2,2,2307342,"order_734.csv"
735,46,23,"set_1","inverse","base_rev","rev",3,"fribble_first",1,2,2,2307352,"order_735.csv"
736,46,23,"set_1","inverse","base_rev","rev",3,"fractal_first",1,2,2,2307362,"order_736.csv"
