"order_id","lab_number","base_lab_id","fribble_set","complexity_polarity","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_shuffle_group","time_order_index","location_seed","file_name"
385,25,13,"set_1","normal","base_block","rev",2,"fribble_first",0,1,1,1303851,"order_385.csv"
386,25,13,"set_1","normal","base_block","rev",2,"fractal_first",0,1,1,1303861,"order_386.csv"
387,25,13,"set_1","normal","base_block","rev",2,"fribble_first",1,1,1,1303871,"order_387.csv"
388,25,13,"set_1","normal","base_block","rev",2,"fractal_first",1,1,1,1303881,"order_388.csv"
389,25,13,"set_1","normal","base_block","rev",2,"fribble_first",0,2,1,1303892,"order_389.csv"
390,25,13,"set_1","normal","base_block","rev",2,"fractal_first",0,2,1,1303902,"order_390.csv"
391,25,13,"set_1","normal","base_block","rev",2,"fribble_first",1,2,1,1303912,"order_391.csv"
392,25,13,"set_1","normal","base_block","rev",2,"fractal_first",1,2,1,1303922,"order_392.csv"
393,25,13,"set_1","normal","base_block","rev",2,"fribble_first",0,1,2,1303931,"order_393.csv"
394,25,13,"set_1","normal","base_block","rev",2,"fractal_first",0,1,2,1303941,"order_394.csv"
395,25,13,"set_1","normal","base_block","rev",2,"fribble_first",1,1,2,1303951,"order_395.csv"
396,25,13,"set_1","normal","base_block","rev",2,"fractal_first",1,1,2,1303961,"order_396.csv"
397,25,13,"set_1","normal","base_block","rev",2,"fribble_first",0,2,2,1303972,"order_397.csv"
398,25,13,"set_1","normal","base_block","rev",2,"fractal_first",0,2,2,1303982,"order_398.csv"
399,25,13,"set_1","normal","base_block","rev",2,"fribble_first",1,2,2,1303992,"order_399.csv"
400,25,13,"set_1","normal","base_block","rev",2,"fractal_first",1,2,2,1304002,"order_400.csv"
