trial_number,familiar_stimulus,novel_stimulus,complexity_condition,familiarization_time,familiar_location_1,familiar_location_2,test_time_1,test_time_2,familiarization_time_timeout
1,fractal_complex_pair1_a,fractal_complex_pair1_b,complex,1,left,right,5,5,2
2,fractal_simple_pair2_b,fractal_simple_pair2_a,simple,10,right,left,5,5,20
3,fractal_simple_pair3_b,fractal_simple_pair3_a,simple,1,left,right,5,5,2
4,fractal_complex_pair4_a,fractal_complex_pair4_b,complex,10,left,right,5,5,20
5,fractal_complex_pair5_b,fractal_complex_pair5_a,complex,5,right,left,5,5,10
6,fractal_simple_pair6_a,fractal_simple_pair6_b,simple,1,right,left,5,5,2
7,fribble_complex_20,fribble_complex_14,complex,5,left,right,5,5,10
8,fribble_simple_01,fribble_simple_07,simple,5,right,left,5,5,10
9,fribble_simple_11,fribble_simple_06,simple,10,left,right,5,5,20
10,fribble_complex_19,fribble_complex_21,complex,1,right,left,5,5,2
11,fribble_simple_05,fribble_simple_02,simple,1,right,left,5,5,2
12,fribble_complex_13,fribble_complex_23,complex,10,left,right,5,5,20
