trial_number,familiar_stimulus,novel_stimulus,familiar_stimulus_item,novel_stimulus_item,complexity_condition,familiarization_time,familiar_stimulus_path,novel_stimulus_path,familiar_location_1,familiar_location_2,left_image_path_1,right_image_path_1,left_image_path_2,right_image_path_2,test_time_1,test_time_2,familiarization_time_timeout,lab,fribble_shuffle_seed,fractal_shuffle_seed,seed_group,fribble_set,test_familiar_location_order,trial_type
1,Diamond_Complex,Tripod_Complex,Diamond,Tripod,complex,5,stimuli/images/Diamond_Complex.png,stimuli/images/Tripod_Complex.png,right,left,stimuli/images/Tripod_Complex.png,stimuli/images/Diamond_Complex.png,stimuli/images/Diamond_Complex.png,stimuli/images/Tripod_Complex.png,5,5,10,lab9,14,15,3,set_1,loc_order_1,fribble
2,Pumpkin_Simple,Crinkle_Simple,Pumpkin,Crinkle,simple,10,stimuli/images/Pumpkin_Simple.png,stimuli/images/Crinkle_Simple.png,left,right,stimuli/images/Pumpkin_Simple.png,stimuli/images/Crinkle_Simple.png,stimuli/images/Crinkle_Simple.png,stimuli/images/Pumpkin_Simple.png,5,5,20,lab9,14,15,3,set_1,loc_order_1,fribble
3,Cylinder_Complex,SimsDiamond_Complex,Cylinder,SimsDiamond,complex,10,stimuli/images/Cylinder_Complex.png,stimuli/images/SimsDiamond_Complex.png,left,right,stimuli/images/Cylinder_Complex.png,stimuli/images/SimsDiamond_Complex.png,stimuli/images/SimsDiamond_Complex.png,stimuli/images/Cylinder_Complex.png,5,5,20,lab9,14,15,3,set_1,loc_order_1,fribble
4,Arrow_Simple,Pacman_Simple,Arrow,Pacman,simple,15,stimuli/images/Arrow_Simple.png,stimuli/images/Pacman_Simple.png,right,left,stimuli/images/Pacman_Simple.png,stimuli/images/Arrow_Simple.png,stimuli/images/Arrow_Simple.png,stimuli/images/Pacman_Simple.png,5,5,30,lab9,14,15,3,set_1,loc_order_1,fribble
5,Bowtie_Simple,Pyramid_Simple,Bowtie,Pyramid,simple,15,stimuli/images/Bowtie_Simple.png,stimuli/images/Pyramid_Simple.png,right,left,stimuli/images/Pyramid_Simple.png,stimuli/images/Bowtie_Simple.png,stimuli/images/Bowtie_Simple.png,stimuli/images/Pyramid_Simple.png,5,5,30,lab9,14,15,3,set_1,loc_order_1,fribble
6,Gumdrop_Complex,Bowl_Complex,Gumdrop,Bowl,complex,5,stimuli/images/Gumdrop_Complex.png,stimuli/images/Bowl_Complex.png,left,right,stimuli/images/Gumdrop_Complex.png,stimuli/images/Bowl_Complex.png,stimuli/images/Bowl_Complex.png,stimuli/images/Gumdrop_Complex.png,5,5,10,lab9,14,15,3,set_1,loc_order_1,fribble
7,fractal_simple_pair2_b_bright,fractal_simple_pair2_a_bright,pair2_b,pair2_a,simple,10,stimuli/images/fractal_simple_pair2_b_bright.png,stimuli/images/fractal_simple_pair2_a_bright.png,right,left,stimuli/images/fractal_simple_pair2_a_bright.png,stimuli/images/fractal_simple_pair2_b_bright.png,stimuli/images/fractal_simple_pair2_b_bright.png,stimuli/images/fractal_simple_pair2_a_bright.png,5,5,20,lab9,14,15,3,set_1,loc_order_1,fractal
8,fractal_complex_pair1_b_bright,fractal_complex_pair1_a_bright,pair1_b,pair1_a,complex,15,stimuli/images/fractal_complex_pair1_b_bright.png,stimuli/images/fractal_complex_pair1_a_bright.png,right,left,stimuli/images/fractal_complex_pair1_a_bright.png,stimuli/images/fractal_complex_pair1_b_bright.png,stimuli/images/fractal_complex_pair1_b_bright.png,stimuli/images/fractal_complex_pair1_a_bright.png,5,5,30,lab9,14,15,3,set_1,loc_order_1,fractal
9,fractal_complex_pair5_b_bright,fractal_complex_pair5_a_bright,pair5_b,pair5_a,complex,5,stimuli/images/fractal_complex_pair5_b_bright.png,stimuli/images/fractal_complex_pair5_a_bright.png,left,right,stimuli/images/fractal_complex_pair5_b_bright.png,stimuli/images/fractal_complex_pair5_a_bright.png,stimuli/images/fractal_complex_pair5_a_bright.png,stimuli/images/fractal_complex_pair5_b_bright.png,5,5,10,lab9,14,15,3,set_1,loc_order_1,fractal
10,fractal_simple_pair4_b_bright,fractal_simple_pair4_a_bright,pair4_b,pair4_a,simple,10,stimuli/images/fractal_simple_pair4_b_bright.png,stimuli/images/fractal_simple_pair4_a_bright.png,left,right,stimuli/images/fractal_simple_pair4_b_bright.png,stimuli/images/fractal_simple_pair4_a_bright.png,stimuli/images/fractal_simple_pair4_a_bright.png,stimuli/images/fractal_simple_pair4_b_bright.png,5,5,20,lab9,14,15,3,set_1,loc_order_1,fractal
11,fractal_simple_pair3_b_bright,fractal_simple_pair3_a_bright,pair3_b,pair3_a,simple,5,stimuli/images/fractal_simple_pair3_b_bright.png,stimuli/images/fractal_simple_pair3_a_bright.png,right,left,stimuli/images/fractal_simple_pair3_a_bright.png,stimuli/images/fractal_simple_pair3_b_bright.png,stimuli/images/fractal_simple_pair3_b_bright.png,stimuli/images/fractal_simple_pair3_a_bright.png,5,5,10,lab9,14,15,3,set_1,loc_order_1,fractal
12,fractal_complex_pair6_b_bright,fractal_complex_pair6_a_bright,pair6_b,pair6_a,complex,15,stimuli/images/fractal_complex_pair6_b_bright.png,stimuli/images/fractal_complex_pair6_a_bright.png,left,right,stimuli/images/fractal_complex_pair6_b_bright.png,stimuli/images/fractal_complex_pair6_a_bright.png,stimuli/images/fractal_complex_pair6_a_bright.png,stimuli/images/fractal_complex_pair6_b_bright.png,5,5,30,lab9,14,15,3,set_1,loc_order_1,fractal
