"order_id","lab_number","base_lab_id","fribble_set","complexity_polarity","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_shuffle_group","time_order_index","location_seed","file_name"
1,1,1,"set_1","normal","base_block","base",1,"fribble_first",0,1,1,100011,"order_001.csv"
2,1,1,"set_1","normal","base_block","base",1,"fractal_first",0,1,1,100021,"order_002.csv"
3,1,1,"set_1","normal","base_block","base",1,"fribble_first",1,1,1,100031,"order_003.csv"
4,1,1,"set_1","normal","base_block","base",1,"fractal_first",1,1,1,100041,"order_004.csv"
5,1,1,"set_1","normal","base_block","base",1,"fribble_first",0,2,1,100052,"order_005.csv"
6,1,1,"set_1","normal","base_block","base",1,"fractal_first",0,2,1,100062,"order_006.csv"
7,1,1,"set_1","normal","base_block","base",1,"fribble_first",1,2,1,100072,"order_007.csv"
8,1,1,"set_1","normal","base_block","base",1,"fractal_first",1,2,1,100082,"order_008.csv"
9,1,1,"set_1","normal","base_block","base",1,"fribble_first",0,1,2,100091,"order_009.csv"
10,1,1,"set_1","normal","base_block","base",1,"fractal_first",0,1,2,100101,"order_010.csv"
11,1,1,"set_1","normal","base_block","base",1,"fribble_first",1,1,2,100111,"order_011.csv"
12,1,1,"set_1","normal","base_block","base",1,"fractal_first",1,1,2,100121,"order_012.csv"
13,1,1,"set_1","normal","base_block","base",1,"fribble_first",0,2,2,100132,"order_013.csv"
14,1,1,"set_1","normal","base_block","base",1,"fractal_first",0,2,2,100142,"order_014.csv"
15,1,1,"set_1","normal","base_block","base",1,"fribble_first",1,2,2,100152,"order_015.csv"
16,1,1,"set_1","normal","base_block","base",1,"fractal_first",1,2,2,100162,"order_016.csv"
